ID,Gender,Education,Alcohol(Class),Cannabis(Class),Crack(Class),Heroin(Class)
647.0,Mujer,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
648.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,En el último año,Nunca,Nunca
649.0,Mujer,Maestría finalizada,Ayer,Ayer,En el último mes,En la última decada
650.0,Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
651.0,Mujer,Maestría finalizada,En la última semana,En el último año,Hace mas de una decada,Nunca
652.0,Hombre,Maestría finalizada,En la última semana,En la última semana,Nunca,Nunca
653.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Nunca,Nunca
654.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,En la última decada,Nunca,Nunca
655.0,Mujer,Dejó la escuela a los 16 años,En la última semana,Hace mas de una decada,Nunca,Nunca
656.0,Hombre,Maestría finalizada,En la última semana,En el último mes,En la última decada,Nunca
657.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último mes,Ayer,En la última decada,Nunca
658.0,Hombre,Diploma/certificado profesional,En la última semana,En el último mes,Nunca,Hace mas de una decada
659.0,Hombre,Maestría finalizada,En la última semana,En la última decada,Nunca,Nunca
660.0,Hombre,Doctorado finalizado,En la última semana,Ayer,En la última semana,Nunca
661.0,Mujer,Maestría finalizada,Ayer,Nunca,Nunca,Nunca
662.0,Mujer,Grado Universitario,Ayer,En la última semana,Nunca,Nunca
663.0,Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
664.0,Mujer,Doctorado finalizado,Ayer,En la última decada,Nunca,Nunca
665.0,Hombre,Grado Universitario,En la última semana,En la última decada,Nunca,Nunca
666.0,Mujer,Doctorado finalizado,Ayer,En la última semana,Hace mas de una decada,Nunca
667.0,Hombre,Dejó la escuela a los 18 años,En el último año,Ayer,Nunca,Nunca
668.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último mes,En el último año,En el último mes,En el último año
669.0,Hombre,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
670.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,Ayer,Nunca,Nunca
671.0,Hombre,Diploma/certificado profesional,En la última semana,En el último año,Nunca,Nunca
672.0,Hombre,Diploma/certificado profesional,En la última decada,Ayer,Nunca,Nunca
673.0,Hombre,Grado Universitario,En la última decada,Ayer,Nunca,Nunca
674.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,En la última semana,Nunca,Nunca
675.0,Mujer,Maestría finalizada,En el último año,Nunca,Nunca,Nunca
676.0,Hombre,Diploma/certificado profesional,En el último año,Ayer,Nunca,Nunca
677.0,Hombre,Diploma/certificado profesional,En el último año,Ayer,Nunca,Nunca
678.0,Hombre,Grado Universitario,Ayer,En la última decada,Nunca,Nunca
679.0,Hombre,Educación Técnica o de Universidad(No finalizada),Nunca,Nunca,Nunca,Nunca
680.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,En la última decada,Nunca,Nunca
681.0,Hombre,Doctorado finalizado,Ayer,Hace mas de una decada,En la última decada,En la última decada
682.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,En la última decada,Nunca,Nunca
683.0,Hombre,Maestría finalizada,Ayer,Hace mas de una decada,Nunca,Nunca
684.0,Mujer,Grado Universitario,En el último año,En la última decada,Hace mas de una decada,Nunca
685.0,Mujer,Diploma/certificado profesional,En el último mes,En el último mes,Nunca,Nunca
686.0,Hombre,Grado Universitario,Ayer,Ayer,Nunca,Nunca
687.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,En la última semana,Nunca,Nunca
688.0,Mujer,Dejó la escuela antes de los 16 años,En el último mes,En el último año,Nunca,Nunca
689.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última decada,Ayer,Nunca,Nunca
690.0,Mujer,Maestría finalizada,Ayer,Hace mas de una decada,Nunca,Nunca
691.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,Nunca,Nunca,Hace mas de una decada
692.0,Mujer,Grado Universitario,En el último mes,Nunca,Nunca,Nunca
693.0,Mujer,Maestría finalizada,Ayer,Hace mas de una decada,Nunca,Nunca
694.0,Hombre,Maestría finalizada,Ayer,En la última semana,Nunca,Nunca
695.0,Hombre,Diploma/certificado profesional,En la última semana,Ayer,Nunca,Nunca
696.0,Mujer,Maestría finalizada,Ayer,Nunca,Nunca,Nunca
697.0,Hombre,Grado Universitario,En la última semana,Ayer,Nunca,Nunca
698.0,Mujer,Grado Universitario,En el último mes,Ayer,Nunca,Nunca
699.0,Hombre,Grado Universitario,Ayer,En el último año,Nunca,Hace mas de una decada
700.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,Ayer,Nunca,Nunca
701.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Hace mas de una decada,Hace mas de una decada
702.0,Hombre,Dejó la escuela antes de los 16 años,Hace mas de una decada,Ayer,Nunca,Nunca
703.0,Mujer,Grado Universitario,En el último año,En la última decada,Nunca,Nunca
704.0,Hombre,Grado Universitario,Ayer,Hace mas de una decada,Nunca,Nunca
705.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,Ayer,Hace mas de una decada,Hace mas de una decada
706.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último año,Ayer,Nunca,Nunca
707.0,Mujer,Grado Universitario,En el último mes,En la última semana,Nunca,Nunca
708.0,Hombre,Grado Universitario,En la última semana,En el último año,Nunca,Nunca
709.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,En la última decada,Nunca,Nunca
710.0,Hombre,Diploma/certificado profesional,En el último año,En el último mes,Nunca,Nunca
711.0,Hombre,Grado Universitario,En la última semana,Ayer,Nunca,Nunca
712.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último año,Ayer,Nunca,Nunca
713.0,Mujer,Maestría finalizada,En el último mes,En la última decada,Nunca,Nunca
714.0,Hombre,Grado Universitario,Ayer,Ayer,Nunca,Nunca
715.0,Hombre,Diploma/certificado profesional,En la última semana,En el último año,Nunca,Nunca
716.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,En la última decada,En la última semana
717.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último año,Ayer,Nunca,Nunca
718.0,Hombre,Grado Universitario,En la última semana,Ayer,Nunca,Nunca
719.0,Hombre,Dejó la escuela a los 16 años,En la última semana,Ayer,Nunca,Nunca
720.0,Hombre,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
721.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,Ayer,Nunca,En la última semana
722.0,Mujer,Diploma/certificado profesional,En el último mes,Ayer,Nunca,Nunca
723.0,Hombre,Diploma/certificado profesional,Hace mas de una decada,Ayer,Nunca,Hace mas de una decada
724.0,Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
725.0,Mujer,Educación Técnica o de Universidad(No finalizada),En el último mes,Ayer,Nunca,Nunca
726.0,Mujer,Maestría finalizada,En la última semana,En el último año,Nunca,Nunca
727.0,Hombre,Diploma/certificado profesional,Ayer,En el último mes,Nunca,Nunca
728.0,Mujer,Maestría finalizada,En la última semana,Nunca,Nunca,Nunca
729.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último mes,En la última decada,Nunca,Nunca
730.0,Mujer,Dejó la escuela a los 16 años,Ayer,Ayer,En la última semana,En la última semana
731.0,Mujer,Grado Universitario,En la última semana,Hace mas de una decada,Nunca,Nunca
732.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último mes,En el último año,Nunca,Nunca
733.0,Mujer,Grado Universitario,Ayer,En el último año,Nunca,Nunca
734.0,Hombre,Dejó la escuela a los 16 años,En la última semana,Ayer,Nunca,Nunca
735.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,Ayer,Nunca,Nunca
736.0,Mujer,Grado Universitario,En el último mes,En el último año,Nunca,En la última semana
737.0,Hombre,Grado Universitario,Ayer,En la última decada,Nunca,Nunca
738.0,Hombre,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
739.0,Mujer,Dejó la escuela a los 18 años,En el último mes,Ayer,Nunca,Nunca
740.0,Hombre,Maestría finalizada,Ayer,Ayer,Nunca,Nunca
741.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Nunca,Nunca
743.0,Mujer,Maestría finalizada,Ayer,Hace mas de una decada,Nunca,Nunca
744.0,Mujer,Grado Universitario,En la última semana,Hace mas de una decada,Nunca,Nunca
745.0,Hombre,Dejó la escuela a los 16 años,Hace mas de una decada,Ayer,Nunca,Nunca
746.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,Nunca,Nunca,Nunca
747.0,Mujer,Dejó la escuela a los 16 años,Ayer,Nunca,Nunca,Nunca
748.0,Mujer,Maestría finalizada,En el último mes,Ayer,Nunca,Nunca
749.0,Mujer,Dejó la escuela a los 16 años,En la última decada,Ayer,En la última semana,Nunca
750.0,Mujer,Doctorado finalizado,En la última semana,Nunca,Nunca,Nunca
751.0,Hombre,Maestría finalizada,En la última semana,En la última semana,Nunca,Nunca
752.0,Mujer,Diploma/certificado profesional,Ayer,En la última decada,Nunca,Nunca
753.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,En el último año,Nunca,Nunca
754.0,Mujer,Maestría finalizada,En la última semana,En la última semana,Nunca,Nunca
755.0,Hombre,Doctorado finalizado,En el último mes,En el último año,Nunca,Nunca
756.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,En la última semana,Nunca,En la última decada
757.0,Mujer,Maestría finalizada,En la última semana,En la última semana,Nunca,Nunca
758.0,Mujer,Educación Técnica o de Universidad(No finalizada),Ayer,Ayer,Nunca,Nunca
759.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último año,Ayer,En la última decada,Nunca
760.0,Hombre,Doctorado finalizado,Ayer,En la última decada,En la última semana,Nunca
761.0,Hombre,Grado Universitario,Ayer,En la última decada,Nunca,En la última decada
762.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,Ayer,Nunca,Nunca
763.0,Mujer,Grado Universitario,Ayer,Ayer,Nunca,Nunca
764.0,Mujer,Grado Universitario,En la última semana,En la última decada,En la última decada,Nunca
765.0,Hombre,Dejó la escuela a los 16 años,En la última semana,En el último año,Nunca,Nunca
766.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último mes,Ayer,Nunca,Nunca
767.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,Hace mas de una decada,En la última decada,En la última semana
768.0,Hombre,Maestría finalizada,Ayer,Ayer,Nunca,En la última semana
769.0,Mujer,Diploma/certificado profesional,En el último mes,Ayer,Nunca,Nunca
770.0,Hombre,Grado Universitario,Ayer,En la última semana,Nunca,Nunca
771.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último año,En la última decada,Nunca,Nunca
772.0,Mujer,Maestría finalizada,Nunca,Nunca,Nunca,Nunca
773.0,Hombre,Grado Universitario,Ayer,Ayer,Nunca,Hace mas de una decada
774.0,Mujer,Diploma/certificado profesional,Hace mas de una decada,Ayer,Hace mas de una decada,Hace mas de una decada
775.0,Hombre,Dejó la escuela a los 18 años,En el último mes,En el último mes,Nunca,En la última semana
776.0,Mujer,Educación Técnica o de Universidad(No finalizada),En el último mes,Ayer,Nunca,Nunca
777.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último año,En el último año,En la última semana,En la última decada
778.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,Ayer,En la última decada,Nunca
779.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último mes,Ayer,Nunca,Nunca
780.0,Hombre,Dejó la escuela a los 18 años,En la última semana,Ayer,Nunca,Hace mas de una decada
781.0,Mujer,Diploma/certificado profesional,En el último mes,En la última decada,Nunca,En la última semana
782.0,Hombre,Diploma/certificado profesional,Ayer,En el último año,Nunca,Nunca
783.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último año,En el último mes,En la última semana,En la última semana
784.0,Mujer,Educación Técnica o de Universidad(No finalizada),Ayer,Ayer,Nunca,Nunca
785.0,Mujer,Educación Técnica o de Universidad(No finalizada),Ayer,En la última decada,Nunca,Nunca
786.0,Hombre,Maestría finalizada,En el último mes,En el último año,Nunca,Nunca
787.0,Hombre,Diploma/certificado profesional,En el último año,Ayer,Nunca,Nunca
788.0,Hombre,Diploma/certificado profesional,Ayer,En la última semana,En la última semana,Hace mas de una decada
789.0,Hombre,Diploma/certificado profesional,En la última semana,Nunca,Nunca,Nunca
790.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último año,En el último año,Nunca,Nunca
791.0,Hombre,Grado Universitario,En la última semana,En el último año,Nunca,Nunca
792.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,En la última decada,Nunca,Nunca
793.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,En el último año,En la última semana,En la última decada
794.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,Nunca,Nunca,Nunca
795.0,Hombre,Grado Universitario,Ayer,Ayer,Nunca,Nunca
796.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último año,Ayer,Nunca,Nunca
797.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último año,Ayer,En la última decada,En el último año
798.0,Mujer,Grado Universitario,En la última semana,En el último año,Nunca,Nunca
799.0,Mujer,Educación Técnica o de Universidad(No finalizada),Ayer,En el último mes,Nunca,Nunca
800.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Hace mas de una decada,Hace mas de una decada
801.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último mes,En el último mes,Nunca,Nunca
802.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último año,Ayer,Nunca,Nunca
803.0,Hombre,Dejó la escuela a los 18 años,En la última semana,En el último año,Nunca,Nunca
804.0,Mujer,Grado Universitario,Ayer,En el último mes,Nunca,En la última decada
805.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,En la última semana,Hace mas de una decada,Nunca
806.0,Mujer,Grado Universitario,Ayer,En la última semana,En el último mes,Ayer
807.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última decada,En la última decada,En la última semana,En la última decada
808.0,Hombre,Dejó la escuela a los 17 años,En la última semana,Ayer,Nunca,Nunca
809.0,Mujer,Educación Técnica o de Universidad(No finalizada),Ayer,En la última decada,Nunca,Nunca
810.0,Hombre,Grado Universitario,En el último año,En la última decada,Nunca,En la última decada
811.0,Hombre,Diploma/certificado profesional,En la última semana,En el último mes,Nunca,Nunca
812.0,Hombre,Dejó la escuela a los 18 años,En el último año,En el último mes,Nunca,Nunca
813.0,Mujer,Grado Universitario,Ayer,En la última decada,En la última semana,Hace mas de una decada
814.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último mes,En el último año,Nunca,En la última decada
815.0,Hombre,Grado Universitario,En el último año,En la última semana,En la última semana,En el último año
816.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Nunca,Nunca
817.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,En el último año,En el último año,En la última decada
818.0,Mujer,Educación Técnica o de Universidad(No finalizada),En el último año,En el último año,Nunca,En la última decada
819.0,Hombre,Doctorado finalizado,En el último mes,En el último año,Hace mas de una decada,En la última decada
820.0,Mujer,Maestría finalizada,En la última semana,Ayer,Nunca,Nunca
821.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último año,En el último mes,Nunca,Nunca
822.0,Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
823.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,Nunca,Nunca,Nunca
824.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último mes,Ayer,Nunca,Nunca
825.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Nunca,Nunca
826.0,Hombre,Grado Universitario,En la última semana,En el último año,Nunca,Nunca
827.0,Hombre,Grado Universitario,Ayer,Ayer,En el último año,Ayer
828.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último año,Ayer,En la última decada,En el último mes
829.0,Hombre,Grado Universitario,Ayer,En la última decada,Nunca,Nunca
830.0,Mujer,Doctorado finalizado,En la última semana,En la última decada,Nunca,Nunca
831.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último mes,En el último mes,Nunca,Nunca
832.0,Hombre,Diploma/certificado profesional,Ayer,En el último año,Nunca,Nunca
833.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último mes,En la última decada,Nunca,Nunca
834.0,Mujer,Maestría finalizada,Ayer,Ayer,Nunca,Nunca
835.0,Mujer,Doctorado finalizado,Ayer,Hace mas de una decada,Nunca,Nunca
836.0,Mujer,Maestría finalizada,En la última semana,Nunca,Nunca,Nunca
837.0,Hombre,Grado Universitario,Ayer,Ayer,Nunca,Nunca
838.0,Hombre,Grado Universitario,En el último mes,En el último mes,Nunca,Nunca
839.0,Hombre,Maestría finalizada,En el último año,En la última semana,Nunca,Nunca
840.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último mes,En el último mes,Nunca,Nunca
841.0,Hombre,Dejó la escuela a los 18 años,Ayer,En la última decada,Nunca,Nunca
842.0,Hombre,Grado Universitario,En la última semana,En el último año,En la última semana,En la última decada
843.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último mes,Ayer,Nunca,Nunca
844.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último año,Ayer,Nunca,Nunca
845.0,Mujer,Educación Técnica o de Universidad(No finalizada),Ayer,En la última decada,Nunca,Hace mas de una decada
846.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,En el último mes,Nunca,Nunca
847.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,En la última semana,Nunca,Nunca
848.0,Mujer,Diploma/certificado profesional,En la última decada,En la última semana,Nunca,Nunca
849.0,Hombre,Grado Universitario,En el último año,En la última decada,En la última semana,En el último mes
850.0,Hombre,Dejó la escuela a los 18 años,Ayer,Ayer,En la última decada,Nunca
851.0,Hombre,Maestría finalizada,En el último mes,Ayer,Nunca,Nunca
852.0,Hombre,Maestría finalizada,En la última semana,En el último año,Nunca,Nunca
853.0,Hombre,Educación Técnica o de Universidad(No finalizada),Nunca,Ayer,Nunca,Nunca
854.0,Hombre,Grado Universitario,En la última decada,En la última semana,En la última semana,En la última semana
855.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Nunca,En la última semana
856.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,En el último mes,Nunca,Nunca
857.0,Hombre,Dejó la escuela a los 16 años,En la última semana,En el último año,En el último mes,En el último año
858.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última decada,Ayer,Nunca,Nunca
859.0,Hombre,Diploma/certificado profesional,En la última semana,En el último año,Nunca,En la última decada
860.0,Hombre,Dejó la escuela a los 17 años,En el último mes,En el último mes,En el último año,Ayer
861.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Nunca,Nunca
862.0,Mujer,Educación Técnica o de Universidad(No finalizada),En el último año,En la última semana,Nunca,En la última semana
863.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,Ayer,Nunca,Nunca
864.0,Hombre,Grado Universitario,Ayer,Ayer,En la última semana,Nunca
865.0,Hombre,Educación Técnica o de Universidad(No finalizada),Nunca,Ayer,Nunca,Nunca
866.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,Ayer,Nunca,Nunca
867.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,En el último mes,Nunca,Nunca
868.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,En el último mes,Nunca,Nunca
869.0,Mujer,Educación Técnica o de Universidad(No finalizada),Ayer,Ayer,Nunca,Nunca
870.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,En el último año,Nunca,Nunca
871.0,Hombre,Diploma/certificado profesional,En el último año,En la última decada,Nunca,Hace mas de una decada
872.0,Hombre,Grado Universitario,Ayer,En la última semana,Hace mas de una decada,En la última semana
873.0,Hombre,Maestría finalizada,En la última semana,En el último año,Nunca,Nunca
874.0,Mujer,Maestría finalizada,En la última semana,En el último año,Nunca,Nunca
875.0,Mujer,Educación Técnica o de Universidad(No finalizada),En el último mes,En la última semana,Nunca,Nunca
876.0,Mujer,Maestría finalizada,En la última semana,En la última decada,Nunca,Nunca
877.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Nunca,Nunca
878.0,Hombre,Diploma/certificado profesional,En el último año,En el último mes,En la última semana,En el último mes
879.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,En el último mes,Nunca,Nunca
880.0,Mujer,Grado Universitario,En la última semana,Ayer,Nunca,Nunca
881.0,Hombre,Maestría finalizada,Ayer,En la última decada,Nunca,Nunca
882.0,Mujer,Dejó la escuela antes de los 16 años,En la última semana,Ayer,Nunca,En el último mes
883.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último mes,En el último mes,En el último año,En la última decada
884.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última decada,En la última semana,En la última semana,En la última semana
885.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,Ayer,Nunca,En la última semana
886.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,En el último año,Nunca,Nunca
887.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último mes,En el último año,Nunca,Nunca
888.0,Hombre,Grado Universitario,En el último mes,En el último año,Nunca,Nunca
889.0,Hombre,Grado Universitario,Ayer,En el último año,Nunca,Nunca
890.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Nunca,Nunca
891.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,En el último mes,Nunca,Nunca
892.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último mes,En el último mes,Nunca,Nunca
893.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,En el último año,En la última semana,En la última decada
894.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último año,En la última semana,Nunca,Nunca
895.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último mes,En el último mes,En la última semana,En la última semana
896.0,Mujer,Dejó la escuela a los 17 años,Ayer,En la última decada,Nunca,Hace mas de una decada
897.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,En la última decada,Nunca,Nunca
898.0,Mujer,Diploma/certificado profesional,En el último mes,Ayer,Nunca,Nunca
899.0,Hombre,Maestría finalizada,En la última semana,Ayer,En la última semana,Nunca
900.0,Hombre,Grado Universitario,Ayer,Ayer,Nunca,Nunca
901.0,Mujer,Educación Técnica o de Universidad(No finalizada),Ayer,En el último mes,Nunca,Nunca
902.0,Hombre,Grado Universitario,En la última semana,En el último mes,En el último año,En el último mes
903.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,En el último año,Nunca,Nunca
904.0,Mujer,Maestría finalizada,Ayer,En el último mes,En la última semana,Ayer
905.0,Hombre,Dejó la escuela a los 18 años,En el último mes,Ayer,Nunca,En la última decada
906.0,Mujer,Grado Universitario,Ayer,En la última semana,Nunca,Nunca
907.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última decada,Ayer,Nunca,Ayer
908.0,Hombre,Diploma/certificado profesional,En la última semana,Ayer,Nunca,Nunca
909.0,Hombre,Grado Universitario,En el último mes,Hace mas de una decada,Nunca,Nunca
910.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Nunca,Nunca
911.0,Hombre,Grado Universitario,En la última semana,En el último año,Nunca,En la última decada
912.0,Mujer,Educación Técnica o de Universidad(No finalizada),Ayer,Ayer,Nunca,Nunca
913.0,Mujer,Educación Técnica o de Universidad(No finalizada),En el último mes,En el último mes,Nunca,En el último año
914.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último mes,En el último año,Nunca,Nunca
915.0,Hombre,Grado Universitario,En el último año,Nunca,Nunca,Nunca
916.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Nunca,Nunca
917.0,Mujer,Dejó la escuela a los 17 años,En la última semana,Ayer,Hace mas de una decada,Nunca
918.0,Hombre,Dejó la escuela a los 18 años,Ayer,En el último mes,Nunca,En la última decada
919.0,Hombre,Dejó la escuela a los 16 años,En el último mes,En la última decada,En la última decada,En el último mes
920.0,Mujer,Educación Técnica o de Universidad(No finalizada),En el último año,En el último mes,Nunca,Nunca
921.0,Hombre,Dejó la escuela a los 18 años,Ayer,Ayer,Nunca,En el último año
922.0,Hombre,Maestría finalizada,En la última semana,En la última semana,Nunca,Hace mas de una decada
923.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,Ayer,Nunca,Nunca
924.0,Hombre,Dejó la escuela antes de los 16 años,En el último año,Ayer,En la última semana,Nunca
925.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último año,En el último mes,Nunca,Nunca
926.0,Hombre,Dejó la escuela a los 18 años,En el último año,En la última decada,En la última decada,En la última semana
927.0,Hombre,Dejó la escuela a los 16 años,En el último año,Ayer,En la última semana,En la última decada
928.0,Hombre,Diploma/certificado profesional,En la última semana,Ayer,Nunca,Nunca
929.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,En el último año,Nunca,Nunca
930.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último mes,Ayer,Nunca,Nunca
931.0,Mujer,Educación Técnica o de Universidad(No finalizada),En el último mes,Ayer,Nunca,Nunca
932.0,Hombre,Dejó la escuela a los 16 años,En el último año,Ayer,Nunca,Nunca
933.0,Mujer,Grado Universitario,En el último mes,En la última semana,Nunca,Hace mas de una decada
934.0,Mujer,Dejó la escuela a los 17 años,En el último año,En la última decada,En la última semana,En el último mes
935.0,Mujer,Grado Universitario,En la última semana,En la última decada,Nunca,Nunca
936.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,En la última decada,En el último mes
937.0,Mujer,Educación Técnica o de Universidad(No finalizada),En el último mes,En el último año,Nunca,Nunca
938.0,Hombre,Diploma/certificado profesional,En el último año,En el último año,Nunca,Nunca
939.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,Ayer,Nunca,Nunca
940.0,Mujer,Grado Universitario,En la última semana,Ayer,Nunca,Nunca
941.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,En el último mes,Nunca,Nunca
942.0,Mujer,Dejó la escuela a los 18 años,En la última semana,En el último año,Nunca,Nunca
943.0,Hombre,Diploma/certificado profesional,En el último mes,Ayer,En la última semana,Nunca
944.0,Mujer,Educación Técnica o de Universidad(No finalizada),En el último año,Ayer,Nunca,En el último mes
945.0,Mujer,Maestría finalizada,En el último año,En la última decada,En la última semana,En la última decada
946.0,Mujer,Educación Técnica o de Universidad(No finalizada),En el último mes,Ayer,Nunca,Nunca
947.0,Hombre,Dejó la escuela a los 18 años,En el último mes,Ayer,Nunca,Nunca
948.0,Hombre,Diploma/certificado profesional,Ayer,En la última decada,Nunca,Nunca
949.0,Mujer,Dejó la escuela a los 18 años,En la última decada,En la última semana,Nunca,Nunca
950.0,Hombre,Diploma/certificado profesional,En la última semana,En la última decada,Nunca,Nunca
951.0,Mujer,Grado Universitario,Ayer,En el último mes,Nunca,En la última semana
952.0,Mujer,Educación Técnica o de Universidad(No finalizada),En el último año,Ayer,Nunca,Nunca
953.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Nunca,Nunca
954.0,Mujer,Grado Universitario,En la última semana,En la última decada,Nunca,Nunca
955.0,Hombre,Educación Técnica o de Universidad(No finalizada),Nunca,En la última decada,Nunca,Nunca
